Timestamp,Grip_Velocity,Silicon_Temp,Silicon_Power,Status
08:00,0.0125,41,13.47,SECURE
08:01,0.0132,41,13.8,SECURE
08:02,0.0088,41,13.45,SECURE
08:03,0.0179,41,13.65,SECURE
08:04,0.0077,41,13.61,SECURE
08:05,0.0077,41,13.41,SECURE
08:06,0.0112,41,13.12,SECURE
08:07,0.0014,41,13.39,SECURE
08:08,0.0049,41,13.56,SECURE
08:09,0.0055,41,13.22,SECURE
08:10,0.0173,41,13.45,SECURE
08:11,0.0103,41,13.22,SECURE
08:12,0.0073,41,13.52,SECURE
08:13,0.0042,41,13.58,SECURE
08:14,0.007,41,13.44,SECURE
08:15,0.007,41,13.87,SECURE
08:16,0.0099,41,13.29,SECURE
08:17,0.0141,41,13.26,SECURE
08:18,0.011,41,13.11,SECURE
08:19,0.0034,41,13.54,SECURE
08:20,0.0137,41,13.53,SECURE
08:21,0.0094,41,13.44,SECURE
08:22,0.0026,41,13.36,SECURE
08:23,0.0077,41,13.71,SECURE
08:24,0.0117,41,13.15,SECURE
08:25,0.0116,41,13.42,SECURE
08:26,0.0066,41,13.62,SECURE
08:27,0.0152,41,13.69,SECURE
08:28,0.0058,41,13.44,SECURE
08:29,0.1954,42,18.94,VOLATILE
08:30,0.1984,41,18.36,VOLATILE
08:31,0.204,42,17.85,VOLATILE
08:32,0.2351,41,19.13,VOLATILE
08:33,0.238,42,18.95,VOLATILE
08:34,0.2533,41,18.13,VOLATILE
08:35,0.263,42,19.22,VOLATILE
08:36,0.2673,41,19.23,VOLATILE
08:37,0.2477,42,18.86,VOLATILE
08:38,0.2789,41,18.3,VOLATILE
08:39,0.2808,42,17.46,VOLATILE
08:40,0.2772,41,18.63,VOLATILE
08:41,0.2912,42,18.19,VOLATILE
08:42,0.2632,41,18.2,VOLATILE
08:43,0.2732,42,18.61,VOLATILE
08:44,0.2498,41,18.71,VOLATILE
08:45,0.2457,42,18.93,VOLATILE
08:46,0.2264,41,18.29,VOLATILE
08:47,0.2176,42,17.72,VOLATILE
08:48,0.2125,41,18.58,VOLATILE
08:49,0.1981,42,18.33,VOLATILE
08:50,0.1732,41,18.24,VOLATILE
08:51,0.1746,42,18.05,VOLATILE
08:52,0.1687,41,18.65,VOLATILE
08:53,0.1835,42,18.54,VOLATILE
08:54,0.1637,41,18.41,VOLATILE
08:55,0.1408,42,18.44,VOLATILE
08:56,0.1619,41,19.68,VOLATILE
08:57,0.1629,42,18.6,VOLATILE
08:58,0.1703,41,17.87,VOLATILE
08:59,0.1898,42,18.83,VOLATILE
08:60,0.1957,41,18.0,VOLATILE
08:61,0.2125,42,17.75,VOLATILE
08:62,0.2159,41,19.55,VOLATILE
08:63,0.2121,42,18.17,VOLATILE
08:64,0.2349,41,18.2,VOLATILE
08:65,0.2297,42,18.48,VOLATILE
08:66,0.2449,41,18.69,VOLATILE
08:67,0.2552,42,19.22,VOLATILE
08:68,0.2637,41,18.29,VOLATILE
08:69,0.2848,42,17.83,VOLATILE
08:70,0.2817,41,19.1,VOLATILE
08:71,0.2638,42,18.54,VOLATILE
08:72,0.2805,41,18.84,VOLATILE
08:73,0.2613,42,17.79,VOLATILE
08:74,0.2725,41,18.6,VOLATILE
08:75,0.2615,42,18.62,VOLATILE
08:76,0.2424,41,18.57,VOLATILE
08:77,0.2411,42,18.09,VOLATILE
08:78,0.2451,41,18.69,VOLATILE
08:79,0.2026,42,18.78,VOLATILE
08:80,0.193,41,18.84,VOLATILE
08:81,0.2032,42,18.04,VOLATILE
08:82,0.1913,41,18.66,VOLATILE
08:83,0.1815,42,19.4,VOLATILE
08:84,0.4831,42,27.66,CRITICAL_SLIP
08:85,0.5093,43,27.65,CRITICAL_SLIP
08:86,0.5629,43,27.99,CRITICAL_SLIP
08:87,0.5964,42,28.14,CRITICAL_SLIP
08:88,0.6002,43,28.33,CRITICAL_SLIP
08:89,0.5842,43,28.71,CRITICAL_SLIP
08:90,0.5745,42,27.63,CRITICAL_SLIP
08:91,0.5028,43,28.03,CRITICAL_SLIP
08:92,0.481,43,28.1,CRITICAL_SLIP
08:93,0.4645,42,27.87,CRITICAL_SLIP
08:94,0.0,41,11.15,ABORT_ACTIVE
08:95,0.0,41,11.08,ABORT_ACTIVE
08:96,0.0,41,11.19,ABORT_ACTIVE
08:97,0.0,41,11.32,ABORT_ACTIVE
08:98,0.0,41,11.25,ABORT_ACTIVE
08:99,0.0,41,11.11,ABORT_ACTIVE
08:100,0.0,41,11.25,ABORT_ACTIVE
08:101,0.0,41,11.27,ABORT_ACTIVE
08:102,0.0,41,11.14,ABORT_ACTIVE
08:103,0.0,41,11.25,ABORT_ACTIVE
08:104,0.0,41,11.24,ABORT_ACTIVE
08:105,0.0,41,11.12,ABORT_ACTIVE
08:106,0.0,41,11.27,ABORT_ACTIVE
08:107,0.0,41,11.29,ABORT_ACTIVE
08:108,0.0,41,11.34,ABORT_ACTIVE
08:109,0.0,41,11.34,ABORT_ACTIVE
08:110,0.0,41,11.09,ABORT_ACTIVE
08:111,0.0,41,11.14,ABORT_ACTIVE
08:112,0.0,41,11.28,ABORT_ACTIVE
08:113,0.0,41,11.28,ABORT_ACTIVE
08:114,0.0,41,11.28,ABORT_ACTIVE
08:115,0.0,41,11.62,ABORT_ACTIVE
08:116,0.0,41,11.29,ABORT_ACTIVE
08:117,0.0,41,11.34,ABORT_ACTIVE
08:118,0.0,41,11.33,ABORT_ACTIVE
08:119,0.0,41,11.3,ABORT_ACTIVE
08:120,0.0,41,11.2,ABORT_ACTIVE
08:121,0.0,41,11.31,ABORT_ACTIVE
08:122,0.0,41,11.15,ABORT_ACTIVE
08:123,0.0,41,11.21,ABORT_ACTIVE
08:124,0.0,41,11.18,ABORT_ACTIVE
08:125,0.0,41,11.24,ABORT_ACTIVE
08:126,0.0,41,11.46,ABORT_ACTIVE
08:127,0.0,41,11.04,ABORT_ACTIVE
08:128,0.0,41,11.3,ABORT_ACTIVE
08:129,0.0,41,11.07,ABORT_ACTIVE
08:130,0.0,41,11.18,ABORT_ACTIVE
08:131,0.0,41,11.34,ABORT_ACTIVE
08:132,0.0,41,11.24,ABORT_ACTIVE
08:133,0.0,41,11.12,ABORT_ACTIVE
08:134,0.0,41,11.16,ABORT_ACTIVE
08:135,0.0,41,11.3,ABORT_ACTIVE
08:136,0.0,41,11.16,ABORT_ACTIVE
08:137,0.0,41,11.25,ABORT_ACTIVE
08:138,0.0,41,11.23,ABORT_ACTIVE
08:139,0.0,41,11.16,ABORT_ACTIVE
08:140,0.0,41,11.44,ABORT_ACTIVE
08:141,0.0,41,11.29,ABORT_ACTIVE
08:142,0.0,41,11.03,ABORT_ACTIVE
08:143,0.0,41,11.25,ABORT_ACTIVE
08:144,0.0,41,11.16,ABORT_ACTIVE
08:145,0.0,41,11.32,ABORT_ACTIVE
08:146,0.0,41,11.15,ABORT_ACTIVE
08:147,0.0,41,11.22,ABORT_ACTIVE
08:148,0.0,41,11.28,ABORT_ACTIVE
08:149,0.0,41,11.32,ABORT_ACTIVE
